date,open,high,low,close,volume,trend,Return,Next_Return,Next_Return_T2,total,pos,neg,DMSI
2021-01-05,30391.59961,30504.89063,30141.7793,30204.25,350910000,down,-0.013818336621574279,0.00524857594543815,0.01773224989321065,47,20,4,0.3404255319148936
2021-01-06,30829.40039,31022.65039,30313.07031,30362.7793,500430000,up,0.00524857594543815,0.01773224989321065,0.005449642754399298,61,29,10,0.3114754098360656
2021-01-07,31041.13086,31193.40039,30897.85938,30901.17969,427810000,up,0.01773224989321065,0.005449642754399298,-0.001744823710536636,68,34,10,0.35294117647058826
2021-01-08,31097.9707,31140.66992,30793.26953,31069.58008,381150000,up,0.005449642754399298,-0.001744823710536636,-1.1586836138444134e-05,46,22,9,0.2826086956521739
2021-01-11,31008.68945,31096.98047,30832.06055,31015.36914,356540000,down,-0.001744823710536636,-1.1586836138444134e-05,0.002252815347089987,36,9,12,-0.08333333333333333
2021-01-12,31068.68945,31114.56055,30888.75977,31015.00977,362620000,down,-1.1586836138444134e-05,0.002252815347089987,2.5384044531229222e-05,56,27,11,0.2857142857142857
2021-01-13,31060.4707,31153.36914,30992.05078,31084.88086,413250000,up,0.002252815347089987,2.5384044531229222e-05,-0.005111692635511256,69,32,10,0.3188405797101449
2021-01-14,30991.51953,31223.7793,30982.24023,31085.66992,427810000,up,2.5384044531229222e-05,-0.005111692635511256,-0.0012723478914223874,38,17,1,0.42105263157894735
2021-01-15,30814.25977,30941.98047,30612.66992,30926.76953,433000000,down,-0.005111692635511256,-0.0012723478914223874,0.004212690484896919,49,20,10,0.20408163265306123
2021-01-19,30930.51953,31086.61914,30865.0293,30887.41992,386400000,down,-0.0012723478914223874,0.004212690484896919,0.005818343926347724,69,31,16,0.21739130434782608
2021-01-20,31188.38086,31235.98047,30997.78906,31017.53906,384980000,up,0.004212690484896919,0.005818343926347724,-0.0018093852914388142,47,26,9,0.3617021276595745
2021-01-21,31176.00977,31272.2207,31120.91992,31198.00977,418780000,up,0.005818343926347724,-0.0018093852914388142,-0.0048716550269346515,46,18,6,0.2608695652173913
2021-01-22,30996.98047,31141.56055,30908.4707,31141.56055,436040000,down,-0.0018093852914388142,-0.0048716550269346515,-0.0006872840710117067,42,16,12,0.09523809523809523
2021-01-25,30960.0,30989.84961,30564.06055,30989.84961,472890000,down,-0.0048716550269346515,-0.0006872840710117067,-0.0024144326459180077,51,19,14,0.09803921568627451
2021-01-26,30937.03906,31121.41992,30921.71094,30968.55078,373150000,down,-0.0006872840710117067,-0.0024144326459180077,-0.01672148444460453,52,24,7,0.3269230769230769
2021-01-27,30303.16992,30893.7793,30206.91016,30893.7793,566470000,down,-0.0024144326459180077,-0.01672148444460453,0.005817546428739773,61,18,25,-0.11475409836065574
2021-01-28,30603.35938,30951.41016,30377.18945,30377.18945,465140000,down,-0.01672148444460453,0.005817546428739773,-0.016337669626767082,73,27,9,0.2465753424657534
2021-01-29,29982.61914,30553.91016,29856.30078,30553.91016,536320000,up,0.005817546428739773,-0.016337669626767082,0.007391528272787218,59,26,11,0.2542372881355932
2021-02-01,30211.91016,30335.91016,30014.9707,30054.73047,347060000,down,-0.016337669626767082,0.007391528272787218,0.013633158973959114,45,19,6,0.28888888888888886
2021-02-02,30687.48047,30840.53906,30276.88086,30276.88086,333160000,up,0.007391528272787218,0.013633158973959114,0.001568245626404563,43,21,6,0.3488372093023256
2021-02-03,30723.59961,30793.41016,30521.31055,30689.65039,305590000,up,0.013633158973959114,0.001568245626404563,0.011582855304058892,46,20,9,0.2391304347826087
2021-02-04,31055.85938,31065.96094,30737.7793,30737.7793,338330000,up,0.001568245626404563,0.011582855304058892,0.0031320918304109657,53,21,13,0.1509433962264151
2021-02-05,31148.24023,31252.17969,31083.2207,31093.81055,293550000,up,0.011582855304058892,0.0031320918304109657,0.005407988285741849,34,13,3,0.29411764705882354
2021-02-08,31385.75977,31386.09961,31191.19922,31191.19922,322250000,up,0.0031320918304109657,0.005407988285741849,0.00217279747662924,37,26,2,0.6486486486486487
2021-02-09,31375.83008,31439.4707,31245.85938,31359.88086,308210000,up,0.005407988285741849,0.00217279747662924,0.001224089222780167,32,17,2,0.46875
2021-02-10,31437.80078,31511.43945,31221.32031,31428.01953,326450000,up,0.00217279747662924,0.001224089222780167,-0.0014520033745751837,46,20,3,0.3695652173913043
2021-02-11,31430.69922,31543.82031,31244.35938,31466.49023,280320000,up,0.001224089222780167,-0.0014520033745751837,0.001632017603849123,52,30,3,0.5192307692307693
2021-02-12,31458.40039,31475.31055,31347.80078,31420.80078,263090000,down,-0.0014520033745751837,0.001632017603849123,0.00042988261232213,48,25,8,0.3541666666666667
