date,open,high,low,close,volume,trend
3/31/2021,32981.55078,33173.76953,32980.57031,33116.03906,414140000,down
4/1/2021,33153.21094,33167.17188,32985.35156,33054.57813,311880000,down
4/5/2021,33527.19141,33617.94922,33222.37891,33222.37891,344270000,up
4/6/2021,33430.23828,33544.78906,33380.42969,33500.01953,297940000,up
4/7/2021,33446.26172,33521.76172,33347.96094,33444.98047,273440000,down
4/8/2021,33503.57031,33506.80078,33342.64063,33469.89063,304040000,up
4/9/2021,33800.60156,33810.87109,33526.19141,33526.19141,316410000,up
4/12/2021,33745.39844,33786.19141,33665.53906,33775.05859,327370000,up
4/13/2021,33677.26953,33741.64063,33545.83984,33721.16016,324480000,down
4/14/2021,33730.89063,33911.25,33668.94922,33668.94922,315330000,down
4/15/2021,34035.98828,34068.73047,33788.53125,33788.53125,319680000,up
4/16/2021,34200.67188,34256.75,34058.16016,34058.16016,343760000,up
4/19/2021,34077.62891,34182.37891,33980.55859,34182.37891,312540000,up
4/20/2021,33821.30078,34034.17969,33687.01172,34034.17969,350960000,down
4/21/2021,34137.30859,34160.33984,33773.80078,33808.30078,290300000,down
4/22/2021,33815.89844,34126.57031,33717.19141,34109.87891,344470000,up
4/23/2021,34043.48828,34157.57031,33713.28906,33804.51953,346380000,down
4/26/2021,33981.57031,34148.94141,33941.37109,34044.23047,279300000,up
4/27/2021,33984.92969,34043.98047,33870.46094,33932.12891,289030000,down
4/28/2021,33820.37891,33946.60156,33805.55859,33860.46094,335820000,down
4/29/2021,34060.35938,34087.21094,33744.28125,33855.64063,408450000,down
4/30/2021,33874.85156,33988.75,33784.96094,33988.75,374890000,up
5/3/2021,34113.23047,34221.05859,33904.89063,33904.89063,289770000,down
5/4/2021,34133.03125,34147.78125,33765.67969,34080.19922,407860000,up
5/5/2021,34230.33984,34331.19922,34039.66016,34163.98828,253180000,up
5/6/2021,34548.53125,34561.28906,34185.05859,34245.10938,315430000,up
5/7/2021,34777.76172,34811.39063,34464.30859,34578.26953,303400000,up
5/10/2021,34742.82031,35091.55859,34741.57031,34785.26953,361620000,up
5/11/2021,34269.16016,34572.73828,34075.30859,34572.73828,413180000,down
5/12/2021,33587.66016,34207.87109,33555.21875,34206.39844,381350000,down
5/13/2021,34021.44922,34181.76953,33623.48828,33624.73828,350820000,down
5/14/2021,34382.12891,34454.05078,34050.85938,34050.85938,303230000,up
5/17/2021,34327.78906,34383.83984,34176.64844,34375.28906,291910000,up
5/18/2021,34060.66016,34408.98828,34044.10156,34351.17969,289590000,down
5/19/2021,33896.03906,33945.80859,33473.80078,33945.80859,348480000,down
5/20/2021,34084.14844,34233.39844,33872.41016,33906.30078,320150000,down
5/21/2021,34207.83984,34415.48047,34121.91016,34121.91016,306360000,up
5/24/2021,34393.98047,34472.51172,34253.87109,34253.87109,251010000,up
5/25/2021,34312.46094,34511.35156,34266.03125,34428.66016,285760000,up
5/26/2021,34323.05078,34409.58984,34271.44141,34336.33984,258780000,down
5/27/2021,34464.64063,34608.82031,34389.23828,34432.46875,520630000,up
5/28/2021,34529.44922,34631.10938,34520.08984,34558.5,290850000,up
6/1/2021,34575.30859,34849.32031,34542.87109,34584.19141,287700000,up
6/2/2021,34600.37891,34706.64844,34545.96094,34614.62109,263810000,up
6/3/2021,34577.03906,34667.41016,34334.41016,34550.30859,297380000,down
6/4/2021,34756.39063,34772.12109,34618.69141,34618.69141,270050000,up
6/7/2021,34630.23828,34820.91016,34574.51172,34766.19922,259120000,up
6/8/2021,34599.82031,34665.37891,34452.94141,34645.83984,289440000,down
6/9/2021,34447.14063,34654.67188,34439.37109,34626.16016,245100000,down
6/10/2021,34466.23828,34737.78906,34447.25,34502.51172,309310000,down
6/11/2021,34479.60156,34618.08984,34328.64844,34499.80859,260840000,down
6/14/2021,34393.75,34472.51953,34211.53906,34472.51953,295530000,down
6/15/2021,34299.32813,34420.37891,34199.16016,34397.10156,272430000,down
6/16/2021,34033.67188,34333.25,33917.10938,34308.48047,347150000,down
6/17/2021,33823.44922,34091.78906,33626.60938,34014.37891,354690000,down
6/18/2021,33290.07813,33622.69922,33271.92969,33622.69922,563920000,down
6/21/2021,33876.96875,33908.08984,33312.07031,33312.07031,317260000,down
6/22/2021,33945.57813,34040.69922,33751.05859,33872.55859,284130000,up
6/23/2021,33874.23828,34009.39844,33869.82813,33948.53906,255280000,up
6/24/2021,34196.82031,34233.01953,33933.91016,33933.91016,275870000,down
6/25/2021,34433.83984,34501.01953,34314.80078,34328.10156,432550000,up
6/28/2021,34283.26953,34449.64844,34186.12891,34428.10156,280280000,up
6/29/2021,34292.28906,34469.82813,34266.82813,34338.89063,282360000,down
6/30/2021,34502.51172,34553.16016,34245.48047,34290.73828,295560000,down
7/1/2021,34633.53125,34640.28125,34498.85156,34507.32031,268280000,up
7/2/2021,34786.35156,34821.92969,34613.48828,34642.42188,301860000,up
7/6/2021,34577.37109,34814.19922,34358.42188,34790.16016,348430000,up
7/7/2021,34681.78906,34708.78125,34435.58984,34604.17188,302700000,down
7/8/2021,34421.92969,34569.01172,34145.58984,34569.01172,335690000,down
7/9/2021,34870.16016,34893.71875,34457.51172,34457.51172,301750000,down
7/12/2021,34996.17969,35014.89844,34730.14844,34836.75,294800000,up
7/13/2021,34888.78906,35018.78906,34876.89063,34959.96094,322430000,up
7/14/2021,34933.23047,35069.17969,34826.87109,34920.82813,344340000,down
7/15/2021,34987.01953,34990.41016,34762.87109,34924.80859,320450000,up
7/16/2021,34687.85156,35090.01172,34647.82031,35007.94141,322980000,up
7/19/2021,33962.03906,34528.48047,33741.76172,34528.48047,440440000,down
7/20/2021,34511.98828,34621.78906,33981.78906,33981.78906,387020000,down
7/21/2021,34798,34820.23828,34556.96094,34556.96094,317090000,up
7/22/2021,34823.35156,34879.28125,34673.03125,34799.67969,291610000,up
7/23/2021,35061.55078,35095.32813,34855.10938,34855.10938,314040000,up
7/26/2021,35144.30859,35150.37109,34950.19141,35055.85938,259790000,up
7/27/2021,35058.51953,35078.89844,34878.07031,35078.89844,326610000,up
7/28/2021,34930.92969,35116.37109,34876.83984,35109.94922,347170000,up
7/29/2021,35084.53125,35171.51953,34985.98828,34985.98828,222680000,down
7/30/2021,34935.46875,35106.30078,34871.12891,35013.26172,276410000,up
8/2/2021,34838.16016,35192.10938,34808.19922,34968.55859,238620000,down
8/3/2021,35116.39844,35120.94141,34714.32813,34864.10156,259820000,down
8/4/2021,34792.67188,35047.44141,34790.62109,35047.44141,245300000,up
8/5/2021,35064.25,35067.53906,34815.60938,34815.60938,216580000,down
8/6/2021,35208.51172,35246.78906,35077.44141,35077.44141,231570000,up
8/9/2021,35101.85156,35229.67188,35041.23828,35229.67188,207850000,up
8/10/2021,35264.67188,35285.16016,35091.91016,35135.17188,255040000,down
8/11/2021,35484.96875,35501.16016,35300.89063,35300.89063,232800000,up
8/12/2021,35499.85156,35510.76953,35352.53125,35481.94141,231600000,up
8/13/2021,35515.37891,35610.57031,35474.78125,35551.55859,236790000,up
8/16/2021,35625.39844,35631.19141,35231.87109,35490.82813,292590000,down
8/17/2021,35343.28125,35500.01172,35120.30859,35500.01172,309410000,up
8/18/2021,34960.69141,35356.80078,34943.41016,35310.19922,289800000,down
8/19/2021,34894.12109,34997.80859,34690.25,34874.67188,333550000,down
8/20/2021,35120.07813,35177.26172,34867.07031,34917.96094,269320000,up
8/23/2021,35335.71094,35428.91016,35160.96875,35160.96875,245760000,up
8/24/2021,35366.26172,35445.46875,35356.17969,35382.71875,228710000,up
8/25/2021,35405.5,35501.14063,35287.62891,35388.76953,237230000,up
8/26/2021,35213.12109,35498.44922,35205.10156,35449.67969,239740000,up
8/27/2021,35455.80078,35479.17969,35231.10938,35231.10938,240990000,down
8/30/2021,35399.83984,35510.71094,35374.46094,35471.80078,245390000,up
8/31/2021,35360.73047,35449.78906,35289.85938,35391.37891,337240000,down
9/1/2021,35312.53125,35407.37109,35287.05078,35387.55078,265520000,down
9/2/2021,35443.82031,35475.39844,35348.48047,35353.05859,263370000,down
9/3/2021,35369.08984,35422.71094,35269.39844,35401.73047,221370000,up
9/7/2021,35100,35373.23828,35060.89844,35373.23828,289830000,down
9/8/2021,35031.07031,35175.14844,34925.60938,35087.44922,261880000,down
9/9/2021,34879.37891,35199.89063,34847.30078,35013.07813,261330000,down
9/10/2021,34607.71875,35104.25,34599.60938,34949.58984,333230000,down
9/13/2021,34869.62891,34939.10156,34665.5,34665.5,334190000,down
9/14/2021,34577.57031,34990.35938,34510.30078,34906.89844,325140000,up
9/15/2021,34814.39063,34880.76953,34522.03125,34580.94922,317490000,down
9/16/2021,34751.32031,34943.55078,34540.10938,34810.26953,278270000,up
9/17/2021,34584.87891,34779.85938,34519.62891,34737.85938,560630000,down
9/20/2021,33970.46875,34459.71875,33613.03125,34459.71875,435780000,down
9/21/2021,33919.83984,34313.87891,33914.01953,34025.60938,306970000,down
9/22/2021,34258.32031,34440.42188,34006.87109,34006.87109,296590000,down
9/23/2021,34764.82031,34879.78125,34296.30078,34296.30078,283890000,up
9/24/2021,34798,34857.05859,34648.07813,34762.30859,254310000,up
9/27/2021,34869.37109,35061.12109,34739.26953,34739.26953,289480000,down
9/28/2021,34299.98828,34798.21094,34254.64844,34747.69922,379020000,up
9/29/2021,34390.71875,34580.42188,34305.96094,34360.07813,290350000,down
9/30/2021,33843.92188,34557.37109,33833.32031,34467.98047,354830000,up
10/1/2021,34326.46094,34490.55859,33785.53906,33930.69922,427580000,down
10/4/2021,34002.92188,34410.28125,33821.57813,34312.96094,396860000,up
10/5/2021,34314.67188,34490.94922,34035.25,34035.25,311520000,down
10/6/2021,34416.98828,34432.67969,33854.69141,34198.96094,322170000,up
10/7/2021,34754.94141,34975.19141,34509.71875,34509.71875,273290000,up
10/8/2021,34746.25,34842.62109,34661.94922,34757.57031,238080000,up
10/11/2021,34496.05859,34951.35156,34486.51172,34723.78906,256820000,down
10/12/2021,34378.33984,34611.23828,34318.94141,34507.14844,319010000,down
10/13/2021,34377.80859,34449.82813,34115.10156,34372.71094,316220000,down
10/14/2021,34912.55859,34923.82813,34443.21875,34443.21875,338540000,up
10/15/2021,35294.76172,35320.96875,35023.62891,35023.62891,327870000,up
